DAY_DATE,DAY_INT,HOLIDAY_NAME,WEEKDAY,HOLIDAY_DATE_SRC,IS_HOL,IS_FRB_BANK_OBS_HOL,IS_NYSE_OBS_HOL,IS_US_FEDERAL_OBS_HOL
1/1/2012,20120101,New Year's Day,Sunday,https://www.timeanddate.com/holidays/us/new-year-day,1,0,0,0
1/2/2012,20120102,New Year's Day (observed),Monday,https://www.timeanddate.com/holidays/us/new-year-day,1,1,1,1
1/16/2012,20120116,Martin Luther King Day,Monday,https://www.timeanddate.com/holidays/us/martin-luther-king-day,1,1,1,1
2/20/2012,20120220,Presidents' Day,Monday,https://www.timeanddate.com/holidays/us/washington-birthday,1,1,1,1
4/6/2012,20120406,Good Friday,Friday,https://www.timeanddate.com/holidays/us/good-friday,1,0,1,0
5/28/2012,20120528,Memorial Day,Monday,https://www.timeanddate.com/holidays/us/memorial-day,1,1,1,1
7/4/2012,20120704,Independence Day,Wednesday,https://www.timeanddate.com/holidays/us/independence-day,1,1,1,1
9/3/2012,20120903,Labor Day,Monday,https://www.timeanddate.com/holidays/us/labor-day,1,1,1,1
10/8/2012,20121008,Columbus Day,Monday,https://www.timeanddate.com/holidays/us/columbus-day,1,1,0,1
11/11/2012,20121111,Veterans Day,Sunday,https://www.timeanddate.com/holidays/us/veterans-day,1,0,0,0
11/12/2012,20121112,Veterans Day (observed),Monday,https://www.timeanddate.com/holidays/us/veterans-day,1,1,0,1
11/22/2012,20121122,Thanksgiving Day,Thursday,https://www.timeanddate.com/holidays/us/thanksgiving-day,1,1,1,1
12/25/2012,20121225,Christmas Day,Tuesday,https://www.timeanddate.com/holidays/us/christmas-day,1,1,1,1
1/1/2013,20130101,New Year's Day,Tuesday,https://www.timeanddate.com/holidays/us/new-year-day,1,1,1,1
1/21/2013,20130121,Martin Luther King Day,Monday,https://www.timeanddate.com/holidays/us/martin-luther-king-day,1,1,1,1
2/18/2013,20130218,Presidents' Day,Monday,https://www.timeanddate.com/holidays/us/washington-birthday,1,1,1,1
3/29/2013,20130329,Good Friday,Friday,https://www.timeanddate.com/holidays/us/good-friday,1,0,1,0
5/27/2013,20130527,Memorial Day,Monday,https://www.timeanddate.com/holidays/us/memorial-day,1,1,1,1
7/4/2013,20130704,Independence Day,Thursday,https://www.timeanddate.com/holidays/us/independence-day,1,1,1,1
9/2/2013,20130902,Labor Day,Monday,https://www.timeanddate.com/holidays/us/labor-day,1,1,1,1
10/14/2013,20131014,Columbus Day,Monday,https://www.timeanddate.com/holidays/us/columbus-day,1,1,0,1
11/11/2013,20131111,Veterans Day,Monday,https://www.timeanddate.com/holidays/us/veterans-day,1,1,0,1
11/28/2013,20131128,Thanksgiving Day,Thursday,https://www.timeanddate.com/holidays/us/thanksgiving-day,1,1,1,1
12/25/2013,20131225,Christmas Day,Wednesday,https://www.timeanddate.com/holidays/us/christmas-day,1,1,1,1
1/1/2014,20140101,New Year's Day,Wednesday,https://www.timeanddate.com/holidays/us/new-year-day,1,1,1,1
1/20/2014,20140120,Martin Luther King Day,Monday,https://www.timeanddate.com/holidays/us/martin-luther-king-day,1,1,1,1
2/17/2014,20140217,Presidents' Day,Monday,https://www.timeanddate.com/holidays/us/washington-birthday,1,1,1,1
4/18/2014,20140418,Good Friday,Friday,https://www.timeanddate.com/holidays/us/good-friday,1,0,1,0
5/26/2014,20140526,Memorial Day,Monday,https://www.timeanddate.com/holidays/us/memorial-day,1,1,1,1
7/4/2014,20140704,Independence Day,Friday,https://www.timeanddate.com/holidays/us/independence-day,1,1,1,1
9/1/2014,20140901,Labor Day,Monday,https://www.timeanddate.com/holidays/us/labor-day,1,1,1,1
10/13/2014,20141013,Columbus Day,Monday,https://www.timeanddate.com/holidays/us/columbus-day,1,1,0,1
11/11/2014,20141111,Veterans Day,Tuesday,https://www.timeanddate.com/holidays/us/veterans-day,1,1,0,1
11/27/2014,20141127,Thanksgiving Day,Thursday,https://www.timeanddate.com/holidays/us/thanksgiving-day,1,1,1,1
